d1,d2,type
DB01186,DB00182,46
DB00363,DB00771,48
DB03756,DB06595,46
DB01227,DB00780,48
DB01580,DB06144,48
DB00652,DB00835,48
DB00379,DB00207,46
DB01166,DB00641,72
DB00969,DB00207,46
DB00384,DB06595,46
DB01283,DB00630,48
DB11581,DB06717,72
DB00641,DB00705,46
DB00864,DB03585,56
DB00363,DB00652,48
DB01623,DB00645,48
DB01159,DB04920,48
DB00316,DB06595,46
DB01227,DB00344,48
DB01349,DB12598,48
DB01223,DB01254,72
DB00264,DB04920,48
DB12598,DB00630,48
DB00477,DB01012,46
DB00683,DB00224,72
DB01357,DB06595,46
DB00245,DB00340,48
DB09215,DB00663,48
DB00553,DB08873,46
DB00477,DB09074,46
DB01551,DB09238,46
DB00231,DB00951,46
DB01076,DB00790,72
DB00798,DB13783,71
DB00184,DB06697,46
DB01351,DB00444,74
DB08918,DB00224,72
DB00960,DB06697,46
DB13783,DB06268,69
DB01227,DB00557,15
DB00864,DB01283,56
DB01159,DB00835,48
DB00384,DB09038,48
DB00852,DB00477,46
DB00771,DB00765,31
DB00219,DB01452,48
DB00860,DB00839,69
DB00275,DB01359,48
DB00333,DB00035,48
DB00790,DB00765,59
DB00391,DB00985,48
DB00912,DB06700,8
DB00681,DB01427,48
DB01325,DB00810,72
DB01351,DB00681,59
DB00184,DB00333,46
DB00681,DB00960,48
DB00379,DB08918,46
DB00184,DB00705,46
DB12070,DB06697,46
DB06700,DB09074,46
DB01628,DB00477,46
DB01349,DB00790,48
DB00385,DB09215,71
DB01129,DB01076,48
DB06216,DB00835,48
DB01452,DB00323,48
DB00589,DB00705,46
DB00715,DB09238,46
DB00333,DB01217,72
DB06736,DB00035,48
DB06216,DB08871,19
DB00418,DB06216,48
DB01015,DB09238,46
DB00444,DB00203,46
DB00884,DB00976,46
DB00333,DB00177,46
DB01069,DB00557,15
DB00333,DB00254,46
DB00277,DB00177,46
DB00444,DB06717,72
DB06216,DB00765,31
DB08901,DB00908,46
DB01351,DB06700,48
DB08903,DB00674,19
DB00184,DB09074,46
DB01623,DB00599,48
DB08918,DB00976,72
DB00402,DB01189,48
DB00258,DB09231,69
DB00589,DB00641,48
DB00683,DB00254,46
DB01227,DB09074,46
DB00683,DB00363,48
DB08807,DB00744,36
DB01039,DB00224,46
DB00683,DB00985,48
DB00541,DB00254,46
DB00275,DB09038,48
DB00323,DB00883,48
DB00316,DB01029,46
DB00852,DB01359,24
DB00864,DB00525,46
DB00335,DB09215,36
DB01283,DB00860,48
DB01291,DB00696,70
DB01227,DB01069,48
DB00860,DB00136,69
DB01222,DB06819,69
DB00223,DB00224,72
DB12598,DB00744,5
DB00444,DB00213,46
DB00976,DB01001,19
DB01166,DB00780,72
DB00692,DB09070,59
DB01351,DB01427,3
DB04572,DB00224,46
DB00599,DB00765,31
DB00884,DB00919,23
DB00690,DB06153,48
DB01418,DB01357,11
DB00477,DB00883,48
DB01116,DB01452,48
DB00696,DB00705,46
DB01590,DB00335,72
DB09286,DB09038,48
DB00363,DB01015,19
DB00287,DB00925,59
DB01204,DB01076,48
DB01628,DB13158,48
