d1,d2,type
DB01590,DB00542,48
DB00695,DB00727,48
DB01558,DB00224,46
DB00319,DB06696,74
DB00240,DB08873,46
DB01592,DB08930,74
DB01275,DB09238,59
DB00843,DB00951,46
DB00521,DB12598,36
DB01030,DB01129,72
DB00604,DB09238,46
DB01107,DB01012,46
DB00945,DB01101,46
DB00598,DB12598,36
DB00193,DB01551,48
DB09218,DB00860,48
DB00214,DB00925,59
DB01018,DB04920,48
DB00864,DB00544,48
DB00802,DB00695,48
DB01590,DB01396,57
DB06810,DB00768,71
DB00705,DB09330,72
DB08912,DB01349,74
DB06684,DB01063,48
DB00652,DB01356,48
DB00813,DB01221,48
DB00264,DB00169,72
DB11126,DB01244,69
DB00204,DB01015,19
DB00258,DB00653,69
DB00381,DB00705,46
DB01282,DB09286,48
DB00210,DB00939,48
DB00950,DB08918,48
DB00898,DB01100,15
DB00780,DB00953,48
DB01138,DB00177,46
DB00363,DB00313,48
DB06154,DB12598,5
DB06736,DB00999,69
DB00545,DB00960,53
DB00184,DB09330,72
DB00852,DB00734,60
DB00875,DB01069,19
DB09225,DB00660,48
DB00298,DB06144,48
DB00519,DB03585,48
DB01551,DB00341,48
DB06204,DB00384,48
DB00937,DB01623,60
DB00599,DB00215,48
DB00308,DB00344,19
DB09225,DB00283,48
DB00474,DB00458,3
DB01544,DB00207,46
DB00418,DB00327,3
DB00264,DB01113,48
DB01020,DB00224,46
DB09166,DB00557,15
DB00608,DB00715,46
DB00603,DB00203,46
DB00744,DB06725,48
DB00745,DB12332,46
DB01227,DB00436,48
DB00599,DB00906,48
DB08916,DB08873,72
DB00611,DB00780,48
DB00344,DB01621,48
DB01008,DB06820,72
DB13595,DB06695,74
DB00363,DB00907,46
DB01220,DB00696,72
DB00277,DB00752,46
DB00734,DB01623,48
DB13783,DB01077,48
DB01169,DB01067,69
DB00343,DB01012,46
DB00333,DB05271,31
DB01399,DB08971,48
DB00353,DB00363,48
DB06144,DB00608,46
DB01116,DB00193,48
DB00250,DB00227,46
DB00829,DB00705,46
DB01628,DB00524,69
DB01221,DB00934,48
DB01320,DB00379,74
DB00324,DB00203,46
DB00656,DB06717,72
DB01009,DB01155,26
DB00864,DB01435,56
DB01175,DB01100,48
DB09085,DB00985,48
DB00409,DB09286,48
DB00275,DB00876,48
DB00214,DB00264,48
DB00184,DB01101,46
DB06216,DB01353,48
DB00444,DB08880,72
DB00925,DB00968,59
DB11093,DB00910,48
DB00972,DB00323,15
DB01234,DB09070,72
DB00898,DB00379,46
DB00136,DB09073,72
DB00831,DB01452,48
DB00843,DB12278,69
DB01158,DB00960,53
DB01424,DB00379,46
DB00996,DB01351,48
DB01580,DB06594,48
DB11126,DB00653,69
DB01013,DB00890,72
DB08864,DB13878,72
DB00312,DB00759,3
DB00277,DB04855,46
DB00835,DB00205,46
DB01008,DB01110,72
DB01166,DB00227,72
DB00370,DB01623,15
DB00797,DB00695,48
DB00663,DB01118,72
DB00564,DB04920,3
DB01069,DB01210,59
DB00335,DB01182,72
DB01100,DB01267,48
