d1,d2,type
DB00461,DB09138,48
DB00339,DB09268,69
DB00865,DB06764,48
DB00907,DB08873,46
DB00285,DB00633,84
DB01159,DB09166,48
DB08867,DB08881,72
DB00358,DB00617,69
DB00315,DB00696,48
DB09068,DB05271,31
DB00961,DB00264,72
DB01268,DB00621,8
DB00482,DB01097,46
DB00434,DB00765,31
DB00398,DB00220,72
DB00570,DB00482,46
DB08981,DB01240,69
DB00564,DB00409,48
DB01340,DB00482,48
DB00520,DB09216,48
DB00497,DB01176,48
DB00559,DB00212,59
DB00554,DB01029,46
DB00244,DB11362,48
DB00849,DB00356,48
DB01029,DB04846,59
DB00564,DB06216,3
DB01253,DB00188,46
DB01159,DB00968,48
DB01601,DB00468,74
DB00374,DB08976,48
DB00829,DB00281,46
DB01104,DB00283,46
DB00635,DB04868,46
DB00679,DB06287,72
DB00540,DB00270,46
DB00691,DB01399,48
DB01615,DB00254,72
DB08864,DB09330,72
DB00477,DB00529,19
DB00370,DB00673,72
DB06212,DB00320,72
DB00829,DB00980,48
DB08867,DB00238,72
DB01030,DB00401,72
DB00268,DB00195,24
DB00589,DB00199,46
DB00991,DB01095,46
DB11915,DB09291,46
DB00940,DB01338,48
DB00310,DB00670,72
DB01175,DB04953,19
DB00492,DB00734,59
DB00974,DB09216,5
DB00985,DB04953,48
DB09053,DB05521,72
DB00694,DB01283,71
DB01058,DB08881,72
DB00862,DB00285,46
DB00497,DB00423,48
DB01601,DB09123,74
DB09220,DB00960,59
DB06663,DB01120,8
DB00283,DB00413,31
DB00986,DB00497,48
DB09053,DB09075,48
DB00213,DB09167,46
DB01085,DB08820,72
DB00273,DB09072,15
DB09068,DB00344,48
DB01009,DB00596,48
DB00695,DB00565,16
DB01174,DB08896,74
DB00794,DB00748,3
DB01192,DB00557,15
DB01255,DB01626,70
DB01587,DB06738,48
DB01611,DB01058,74
DB00179,DB00959,48
DB00741,DB01021,82
DB00481,DB08873,46
DB00519,DB09216,48
DB00409,DB00494,48
DB00343,DB09570,46
DB09040,DB00884,48
DB09078,DB01403,19
DB01157,DB09236,48
DB00668,DB00723,48
DB06207,DB00175,72
DB08865,DB00661,46
DB09068,DB08880,46
DB00631,DB00796,48
DB00564,DB00252,74
DB00972,DB01160,69
DB08906,DB00483,48
DB00904,DB00765,31
DB00193,DB01437,48
DB00794,DB01253,3
DB01194,DB01232,72
DB09216,DB00325,59
DB08867,DB00834,72
DB06267,DB01601,46
DB00179,DB04574,48
DB00829,DB00673,72
DB00471,DB09073,72
DB11560,DB01029,46
DB00484,DB01392,36
DB01192,DB01437,48
DB01200,DB00964,48
DB00497,DB00298,48
DB00295,DB01002,48
DB01551,DB08865,46
DB01159,DB00692,48
DB01001,DB00696,70
DB00497,DB09166,48
DB00589,DB01628,48
DB01466,DB00653,15
DB00987,DB00199,46
DB00683,DB01242,48
DB00612,DB01029,48
DB05294,DB00557,19
DB06155,DB01211,46
DB00708,DB00458,48
DB00721,DB01353,48
DB04861,DB00972,36
DB00793,DB00661,48
DB00643,DB01254,72
DB00669,DB06210,72
DB00508,DB00268,31
DB06480,DB01211,72
DB09273,DB00437,72
DB01563,DB00181,48
DB09280,DB01227,3
DB01267,DB00508,48
DB00477,DB00871,19
DB00899,DB00492,48
DB08893,DB01200,70
DB00556,DB06788,19
DB01174,DB06292,3
DB01149,DB01601,72
DB00586,DB00905,69
DB06267,DB00765,9
DB06287,DB00289,46
DB11362,DB04868,46
DB00750,DB01209,48
DB00880,DB01580,59
DB01403,DB00508,15
DB00939,DB00524,69
DB04896,DB00633,84
DB00683,DB01614,48
DB00541,DB09102,72
DB05109,DB06603,72
DB09068,DB00184,46
DB00401,DB00653,48
DB00982,DB06713,69
DB06176,DB00511,57
DB00199,DB00674,19
DB00586,DB00554,48
DB06803,DB08816,46
DB00857,DB00412,46
DB09297,DB00283,46
DB00850,DB00508,48
DB00220,DB00252,74
DB00849,DB00622,46
DB01427,DB00196,72
DB01227,DB09063,72
DB01606,DB01032,72
DB00243,DB01182,72
DB00869,DB09220,59
DB00946,DB01563,72
DB01628,DB00363,46
DB01253,DB00864,48
DB00477,DB01263,46
DB00318,DB00427,48
