d1,d2,type
DB06589,DB01595,72
DB00136,DB00196,46
DB06212,DB09396,72
DB00712,DB00300,48
DB00854,DB00283,48
DB06690,DB01501,48
DB00397,DB01064,48
DB08864,DB00435,72
DB01200,DB00104,72
DB00738,DB00331,69
DB09570,DB09167,46
DB13179,DB00196,46
DB01182,DB06603,72
DB00972,DB08873,46
DB06207,DB12026,72
DB01466,DB00220,46
DB01165,DB06663,19
DB01172,DB06802,71
DB00862,DB00381,9
DB01297,DB03128,48
DB00972,DB01501,15
DB01589,DB08873,46
DB00708,DB00765,31
DB06764,DB09273,48
DB01437,DB01587,48
DB00455,DB00908,46
DB09216,DB00196,72
DB00586,DB01399,48
DB06287,DB08820,72
DB01029,DB08981,48
DB00854,DB00035,48
DB00652,DB00395,48
DB01228,DB00195,46
DB01597,DB06287,48
DB00598,DB06603,72
DB01200,DB00401,48
DB00854,DB00765,31
DB01054,DB08822,48
DB06603,DB00511,57
DB01182,DB00270,72
DB01338,DB00445,39
DB00483,DB09272,38
DB01466,DB00199,46
DB00933,DB01295,59
DB01338,DB00486,84
DB00231,DB00220,46
DB01168,DB00511,57
DB00474,DB00297,48
DB00264,DB00196,46
DB09232,DB00708,48
DB06603,DB00199,19
DB00564,DB08910,3
DB06777,DB00220,46
DB00564,DB01588,3
DB06772,DB00270,46
DB09232,DB00270,48
DB00652,DB01595,48
DB00683,DB01353,48
DB01399,DB04576,26
DB11915,DB00220,46
DB01615,DB09097,69
DB00924,DB04876,72
DB00195,DB00939,36
DB09232,DB00196,72
DB06603,DB08864,19
DB01047,DB04575,72
DB00598,DB01054,59
DB00633,DB00455,48
DB06144,DB09167,46
DB00908,DB00370,19
DB00635,DB09067,69
DB00195,DB00482,46
DB00370,DB00496,46
DB00475,DB00508,48
DB00474,DB04953,48
DB00445,DB00300,72
DB09232,DB00401,48
DB00910,DB00199,46
DB01437,DB00455,48
DB00270,DB01029,48
DB00220,DB04876,69
DB01054,DB00283,46
DB00483,DB00908,20
DB00195,DB00765,59
DB00645,DB00455,48
DB00300,DB01601,56
DB00370,DB00273,15
DB00896,DB01021,82
DB01174,DB04908,74
DB00972,DB01628,48
DB09570,DB00412,46
DB11362,DB01029,46
DB01589,DB00297,48
DB00397,DB00880,82
DB00908,DB01001,19
DB00426,DB01601,46
DB06603,DB06663,19
DB00972,DB00557,15
DB00972,DB01227,15
DB01047,DB08873,72
DB01064,DB01159,81
DB01159,DB04908,48
DB00829,DB01227,48
DB00564,DB01047,74
DB00978,DB09167,46
DB01159,DB00401,48
DB00231,DB00633,48
DB00508,DB01295,59
DB06589,DB00635,72
DB08860,DB01253,72
DB00564,DB00854,48
DB00297,DB00880,48
DB06589,DB00511,57
DB00474,DB01106,48
DB00397,DB06764,48
DB06690,DB01159,48
DB00829,DB00933,48
DB00748,DB00446,46
DB12026,DB00196,46
DB00652,DB04953,48
DB06589,DB13879,72
DB06777,DB08873,46
DB04938,DB08816,46
DB06772,DB01042,48
DB00829,DB01463,48
DB00991,DB01029,46
DB00199,DB00283,46
DB01227,DB06594,48
DB06207,DB01211,72
DB01295,DB01628,36
DB01009,DB01283,48
DB01588,DB06144,48
DB01174,DB01223,3
DB00564,DB00633,48
DB00471,DB00196,46
DB01177,DB00283,46
DB00474,DB00494,48
DB06742,DB08873,46
DB01399,DB01059,26
DB04938,DB01601,72
DB01563,DB09068,48
DB01116,DB00652,48
DB11362,DB00196,46
DB00212,DB09220,59
DB01253,DB13179,48
DB00586,DB01059,26
DB08864,DB00908,72
DB09143,DB08873,72
DB06207,DB06772,72
DB00179,DB00300,48
DB01437,DB09068,48
DB00708,DB00273,48
DB00962,DB00196,46
DB00297,DB00196,46
DB00712,DB08816,46
DB00231,DB01563,48
DB01159,DB01589,72
DB01588,DB01211,46
DB08992,DB00199,46
DB00492,DB00768,48
DB00377,DB00482,46
DB00598,DB00179,36
DB00471,DB00220,46
DB01626,DB11362,59
DB09324,DB01177,74
DB00347,DB00412,46
DB00199,DB00104,19
DB00991,DB00035,48
DB00645,DB00933,48
DB00497,DB00962,48
DB13231,DB06210,74
DB08910,DB00511,57
DB00219,DB01466,48
DB06207,DB00564,72
DB01227,DB08910,48
DB08816,DB09283,5
DB00568,DB00199,46
DB00339,DB08873,46
DB01295,DB09216,36
DB00483,DB01466,48
DB06589,DB00195,46
DB01159,DB00908,46
DB01174,DB04938,3
DB00750,DB01463,48
DB00829,DB00283,46
DB00736,DB00446,46
DB00370,DB00933,15
DB06772,DB01601,72
DB00849,DB00957,69
DB08865,DB00477,19
DB00270,DB01021,59
DB01174,DB00701,3
DB08864,DB00497,74
DB00477,DB01001,19
DB00297,DB00748,48
DB01116,DB09300,48
DB00603,DB00569,69
DB00849,DB01029,59
DB00969,DB01029,46
DB00654,DB01392,36
DB00972,DB01463,15
DB09053,DB08887,48
DB00308,DB06603,19
